model,fit_time,score_time,test_score,train_score
dummy,0.0017006874084472656,0.001205587387084961,0.7539036980621139,0.7539036743336271
dtree,0.01853156089782715,0.0015907764434814453,0.9802069657515202,0.9998350439854994
knn,0.003168153762817383,0.03235955238342285,0.9927429006636928,0.9943919036268708
svm,0.027426767349243163,0.010225200653076172,0.9964813404417365,0.9972509497478953
nb,0.0029161453247070314,0.001421976089477539,0.9755869872701556,0.976193081823655
lr,0.007767724990844727,0.001207876205444336,0.9958212744351359,0.9958763566018607
